    1     1         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 

    2     1         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    2     1         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 

    3     1         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    3     1         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    3     1         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    4     2         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    4     1         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    4     1         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    5     2         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    5     2         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    5     1         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    6     2         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    6     2         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    6     2         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    7     3         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    7     2         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    7     2         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    8     3         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    8     3         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    8     2         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    9     3         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    9     3         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    9     3         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

    10     3         1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
    10     3         1 2 3 4 6 7 8 9 10 11 12 13 16 17 18 19 20 21 22 23 24 25 
    10     4         1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 

